ticker,company_name,industry_code,industry_name,chain_kg_score,product_signal_weight,matched_product_keywords,top_chain_products
600727.SH,鲁北化工,220206,钛白粉,1.483303,0.483303,钛白粉,化肥(0.633); 磷铵(0.507); 钛白粉(0.483); 甲烷氯化物(0.434); 氯碱(0.200); 硫酸钾复合肥(0.190); 原盐(0.149); 水泥(0.067)
000635.SZ,英力特,220202,氯碱,1.465384,0.465384,PVC;烧碱,pvc树脂(0.594); P-PVC(0.183); ppvc糊状树脂(0.178); p-pvc(0.144); E-PVC(0.143); 烧碱(0.140); 电石(0.101); 蒸汽(0.009)
601678.SH,滨化股份,220202,氯碱,1.404569,0.404569,丙烯;乙烯;氢氟酸;烧碱,环氧丙烷(0.499); 烧碱(0.262); 三氯乙烯(0.111); 煤炭(0.063); 原材料(0.049); 环氧氯丙烷(0.048); 乳化剂破乳剂(0.047); 电汽(0.037)
600746.SH,江苏索普,220205,煤化工,1.377014,0.377014,醋酸,ADC发泡剂(0.865); 醋酸(0.377); 衍生品(0.377); 蒸汽与电(0.020); 漂粉精(0.001); 化工原料及产品制造(0.001); 焊接气瓶检验(0.001)
002092.SZ,中泰化学,220202,氯碱,1.362965,0.362965,PVC;乙烯;聚氯乙烯;醋酸,聚氯乙烯(0.361); 粘胶纤维(0.108); 氯碱类(0.085); 粘胶纱线(0.077); 棉纺纱(0.001); 醋酸酐(0.001); 亚硫酸钠(0.001); 高锰酸钾(0.001)
600091.SH,*ST明科,220202,氯碱,1.313811,0.313811,烧碱,化工业务(0.932); 苯酚(0.820); 烧碱(0.314); 电石(0.288); 钢材(0.041); 树脂(0.031); 电器(0.018); 装潢(0.001)
002407.SZ,多氟多,220311,氟化工,1.284581,0.284581,氢氟酸,氟化物(0.801); 无水氟化铝(0.491); 铝用氟化盐(0.489); 冰晶石(0.326); 无水氢氟酸(0.285); 核心材料(0.230); 新材料(0.162); 动力锂电池(0.062)
600160.SH,巨化股份,220311,氟化工,1.284214,0.284214,制冷剂,制冷剂(0.284); 致冷剂(0.232); 氟化工原料(0.113); 石化材料(0.077); 含氟聚合物材料(0.068); 食品包装材料(0.051); 电子化学材料(0.012); 含氟精细化学品(0.006)
002386.SZ,天原股份,220202,氯碱,1.245638,0.245638,乙烯;烧碱;聚氯乙烯,聚氯乙烯(0.135); 氯碱类(0.075); 聚苯乙烯(0.062); 烧碱(0.049); 高分子新材料(0.020); %水合肼(0.020); 三聚磷酸钠(0.014); 水泥(0.010)
600277.SH,亿利洁能,220202,氯碱,1.242067,0.242067,乙烯;烧碱;甲醇;聚氯乙烯,化工制造业(0.831); 化工自产(0.800); 医药(0.194); 聚氯乙烯(0.174); 清洁热力(0.172); pvc(0.164); 乙二醇(0.097); 烧碱(0.064)
002002.SZ,鸿达兴业,220202,氯碱,1.216491,0.216491,PVC;乙烯;烧碱;聚氯乙烯,烧碱(0.183); 土壤调理剂(0.052); PVC制品(0.029); 稀土化工(0.025); 设备(0.015); 氢气(0.002); 制氢(0.001); 重金属钝化剂(0.001)
000698.SZ,沈阳化工,750301,炼油化工,1.213087,0.213087,PVC;丙烯;乙烯;烧碱;聚乙烯,聚醚(0.240); 丙烯酸(0.120); 糊树脂(0.078); 聚乙烯(0.069); MTBE(0.046); 烧碱(0.022); 液化气(0.021); 轻质燃料油(0.015)
300321.SZ,同大股份,220313,聚氨酯,1.195898,0.195898,DMF;乙烯;聚乙烯,超纤光面革(0.466); 超纤绒面革(0.203); 超纤基布(0.199); 回收DMF(0.098); 聚乙烯(0.098); 废料(0.009); 下脚料(0.007); 海岛超纤皮革(0.001)
603077.SH,和邦生物,220201,纯碱,1.143197,0.143197,草甘膦,联碱(0.789); 碳酸钠(0.327); 双甘膦(0.158); 草甘膦原粉(0.143); 氯化铵(0.104); 卤水(0.038); 农药(0.033); 玻璃(0.020)
002601.SZ,龙佰集团,220206,钛白粉,1.134241,0.134241,钛白粉,铁系(0.135); 系列(0.133); 金红石型钛白粉BLR(0.133); 四氯化钛(0.060); 钛原料(0.035); 锆制品(0.033); 氯氧化锆(0.028); 海绵钛(0.024)
000059.SZ,华锦股份,750301,炼油化工,1.101897,0.101897,尿素;甲醇;芳烃,原油加工(0.671); 石油制品(0.671); 聚烯烃类(0.170); 芳烃类(0.065); 尿素(0.036); 丁二烯(0.030); ABS制品(0.018); 副品(0.018)
002748.SZ,世龙实业,220202,氯碱,1.098468,0.098468,烧碱,AC发泡剂(0.736); 供应链业务(0.315); 离子膜烧碱(0.098); 水合肼(0.078); 双氧水(0.058); 氯化亚砜(0.057); 氨水(0.035); 丁酯(0.032)
600800.SH,渤海化学,750303,其他石化,1.080488,1.080488,丙烯;聚酯,丙烯(0.973); 公交机具(0.375); 磁卡(0.360); 印刷(0.334); 聚酯单丝(0.107); 造纸网(0.107); 油墨制造(0.001); 电子出版物复制(0.001)
000818.SZ,航锦科技,220202,氯碱,1.061277,0.061277,乙烯;聚氯乙烯,环氧丙烷(0.374); 液碱(0.233); 电子(0.177); 聚醚(0.168); 军品(0.110); 氯化苯(0.084); 聚氯乙烯(0.061); 民品(0.039)
603192.SH,汇得科技,220313,聚氨酯,1.052,0.052,聚酯,合成革用聚氨酯(0.766); 聚酯多元醇(0.052); 聚氨酯弹性体原液(0.047); 汽车装饰用品制造(0.001); 密封胶制造(0.001); 密封用填料制造(0.001)
002915.SZ,中欣氟材,220311,氟化工,1.042146,0.042146,甲醇,-四氟苯甲酰氯(0.572); 医药化工(0.421); 基础化工(0.370); 氟氯苯乙酮系列(0.361); 农药化工(0.327); -二氯-(0.240); -氟苯乙酮(0.240); 基础氟化工(0.226)
002326.SZ,永太科技,220311,氟化工,1.002718,0.002718,萤石,医药化学品(0.523); 农药类(0.311); 医药类(0.302); 农药化学品(0.292); 液晶类(0.227); 液晶化学品(0.159); 电子化学品(0.117); 萤石精粉(0.003)
000707.SZ,*ST双环,220201,纯碱,1.0,0.0,,商品房销售(0.086); 建材(0.043); 盐化工(0.041); 光电子设备(0.001); 物业管理(0.001)
000830.SZ,鲁西化工,220205,煤化工,1.0,0.0,,化工新材料(0.542); 氮肥(0.351); 复肥(0.321); 基础化工(0.259)
000990.SZ,诚志股份,220205,煤化工,1.0,0.0,,清洁能源(0.833); 半导体显示材料(0.088); 生物医药(0.049); 信息功能材料产品(0.001); 医院投资管理(0.001); 实业投资及管理(0.001); 企业收购(0.001); 液晶电子(0.001)
002165.SZ,红宝丽,220313,聚氨酯,1.0,0.0,,环丙衍生品(0.963); 硬泡聚醚(0.731); 组合聚醚(0.725); 异丙醇胺(0.235); 环氧丙烷(0.064); 附属品(0.064); 材料销售(0.022); 水泥外加剂(0.015)
002998.SZ,优彩资源,220401,涤纶,1.0,0.0,,
300200.SZ,高盟新材,220313,聚氨酯,1.0,0.0,,塑料软包装用复合聚氨酯胶粘剂(0.830); 包装领域(0.823); 隔音降噪减震材料(0.339); NVH(0.339); 塑胶减震缓冲材(0.115); 塑胶密封件(0.085); 高铁用聚氨酯胶粘剂(0.070); 光伏组件(0.065)
300848.SZ,美瑞新材,220313,聚氨酯,1.0,0.0,,
300891.SZ,惠云钛业,220206,钛白粉,1.0,0.0,,
600028.SH,中国石化,750301,炼油化工,1.0,0.0,,
600378.SH,昊华科技,220311,氟化工,1.0,0.0,,化工设施建设(0.674); 基础设计(0.656); 提供劳务-科研开发(0.617); 航空化工材料(0.455); 含氟精细化学品业务(0.296); 高端氟材料(0.290); 聚氨酯(0.248); 化学推进剂业务(0.248)
600623.SH,华谊集团,220205,煤化工,1.0,0.0,,绿色轮胎(0.295); 能源化工(0.219); 轮胎制造(0.175); 先进材料(0.119); 精细化工(0.108); 日化(0.016); 轮胎橡胶制品纲丝(0.001); 橡胶原辅材料(0.001)
600688.SH,上海石化,750301,炼油化工,1.0,0.0,,树脂(0.124); 塑料(0.124); 中间石化(0.123); 合成纤维(0.029); 催化剂制备及废剂回收(0.001); 塑料及制品(0.001); 系统内员工培训(0.001); 铁路装卸(0.001)
600844.SH,丹化科技,220205,煤化工,1.0,0.0,,催化剂(0.077); 粗乙二醇(0.016); 碳酸二甲脂(0.016); 碳酸二甲酯(0.015); 生物降解塑料(0.009); 粗乙醇(0.004); 草酸二甲脂(0.003); 硝酸钠(0.002)
601568.SH,北元集团,220202,氯碱,1.0,0.0,,
601857.SH,中国石油,750301,炼油化工,1.0,0.0,,
603041.SH,美思德,220313,聚氨酯,1.0,0.0,,硬泡匀泡剂(0.786); 软泡匀泡剂(0.196); 原材料(0.011); 废料(0.011); 油化品(0.008); 催化剂及相关化工产品(0.001)
605020.SH,永和股份,220311,氟化工,1.0,0.0,,
000953.SZ,河化股份,220801,氮肥,0.943546,0.943546,尿素;甲醇,尿素(0.943); 医药中间体(0.653); 高浓度复合肥(0.057); 氨水(0.020); L-丙氨酸(0.014); 商品液氨(0.004); 甲醇(0.001)
